word,count
child,455
dwellin,2
rotten,88
apple,72
tackled,1
devil,549
lasso,1
hassle,5
sellin,18
pays,20
folks,93
pray,449
jess,1
soakin,1
sins,175
trays,2
holy,591
water,685
odds,38
slaughter,57
best,1484
describin,1
strength,300
son,456
star,464
resurrection,38
correction,1
wrong,1512
direction,107
cards,87
mediocre,3
flippin,8
playin,106
spades,5
strip,37
poker,23
bandit,17
single-handed,1
murder,200
alone,3077
remanded,1
die,2337
crown,192
throne,150
sound,928
caved,13
"1,000",1
miles,346
cloud,129
follow,770
dark,1421
tomorrow,614
fill,418
clip,53
tip,79
picturin,1
eatin,31
heartbeat,163
skip,55
amped,6
champ,8
brain,441
handcuffs,8
headed,87
indiana,5
stabbin,1
women,166
phantom,35
lampin,2
big,1211
willie,15
chip-toothed,1
smile,878
loot,20
fly,905
burnin,52
dollars,52
light,2674
stoge,1
walk,1519
bop,135
checkin,13
dames,3
games,190
problems,171
today,1052
everybody,1430
foundation,36
uptown,48
mount,57
vernon,5
long,2946
south,167
bronx,3
mo,106
room,776
flo,3
cease,42
nino,1
pick,464
poppa,27
morn,30
spin,161
tattoo,63
titties,21
b.i.g,5
main,49
don'tcha,3
won'tcha,1
wife,139
full-length,2
mink,5
links,11
bracelets,2
conversation,80
showed,99
safe,391
combinations,3
guess,892
you'se,1
trusted,17
ever,3279
mustard,3
sent,208
took,855
court,39
nother,19
intricate,3
plot,34
bitch,1050
raped,26
stick,288
paper,208
moschino,4
hoe,29
versace,8
hottie,6
find,3126
id,170
cases,14
virginia,25
d.c,4
woe,23
trickin,4
bail,13
commence,7
ass-kickin,1
door,896
wavin,14
disrespect,22
clique,18
imperial,5
milk,45
material,29
suckin,11
lips,504
fuck-a-bitch,1
uhh,80
whoo,32
seat,135
gets,652
stiff,57
dicks,6
sweet,1053
petite,10
guaranteed,38
work,1033
town,867
greyhound,9
billboard,6
bound,296
press,151
chicken,42
pressed,30
rather,385
killin,41
juxs,1
count,337
million,364
push,458
limit,46
feelings,436
open,1354
cummin,2
throat,142
lick,117
knees,458
whippin,15
ave,23
spots,13
affairs,5
shots,118
air,710
vexed,6
swinging,53
everywhere,275
shifty,5
pistol,30
whip,123
buy,396
diamonds,215
armani,2
suits,24
adrienne,1
vittadini,1
chanel,18
boots,93
things,2721
lies,970
hallmark,2
apologize,61
deceive,30
payback,17
believe,2094
nah,1085
gay,65
lesbo,1
lil,237
motherfuckers,57
m.a.f.i.a,3
he-he,3
nine-fo,2
bangin,21
allow,27
lace,39
lyrical,28
douches,1
bushes,3
grooves,5
moves,193
mamis,2
club,224
mackin,2
behind,1164
askin,32
passin,24
music,697
blastin,3
quit,211
creep,59
ep,2
secret,259
mack,57
craig,11
bed,768
sweetie,12
needy,6
greedy,28
friends,1191
benzes,3
c-notes,1
layers,14
true,1362
players,23
rover,20
gs3,1
chronic,19
tree,390
cuz,135
throw,505
hands,1586
player,58
dummies,4
waist,51
please,1550
tonight,2277
straight,577
honey,546
really,2285
actin,61
attractin,2
line,1092
sign,380
wine,513
ask,704
interests,3
numbers,85
dial,26
gon,666
rendezvous,20
bar,241
plans,175
leave,2353
keys,99
uh-huh,134
truck,142
roll,765
steam,33
telly,9
belly,151
t-bone,4
steak,17
cheese,31
eggs,10
welch,1
grape,7
conversate,2
boo,80
tellywe,1
movie,150
jacuzzi,9
ls,3
mansion,33
ends,316
feels,1140
stupendous,1
tremendous,1
cream,50
dollar,125
heh,45
tote,11
strapped,38
infrared,3
beams,24
choppin,6
os,6
la,2155
optimos,1
foolish,82
pleasure,126
whatever,433
buried,227
treasure,53
grams,9
measure,36
however,30
coogi,2
sweater,30
top,591
bms,2
girlfriend,98
weekend,154
alright,1284
wit,82
puff,21
daddy,427
makaveli,2
killuminati,2
12-gauge,1
shotty,6
hail,150
mary,134
send,370
begotten,13
ride,1124
ways,442
la-da-la,2
flesh,387
revenge,94
sweetest,84
joy,319
paragraphs,4
unloaded,3
bein,73
quoted,2
peeped,5
weakness,85
sewed,3
bow,337
hopin,57
listenin,17
seein,55
comin,364
glistenin,4
pay,503
attention,189
father,332
killing,368
fields,105
solitary,14
madman,7
screams,108
evil,379
lurks,12
enemies,163
flee,31
activate,7
flame,299
empty,615
stop,2001
corrupt,25
fucked,300
lucky,219
mama,590
nut,22
adjust,14
da-da,33
da,551
penitentiaries,3
promise-makers,1
realized,48
precious,93
wastin,34
institutionalized,1
product,26
crumble,49
hardened,24
humble,75
ballin,18
liquor,74
store,103
hennessy,21
callin,121
bedroom,97
screws,14
lose,1249
one-way,19
prison,118
drugs,152
wrapped,126
thugs,41
homeboys,2
clinton,4
bid,24
raise,273
turn,2234
lights,973
thuggin,16
eternal,128
heart,5147
a-p-b,1
thug,43
family,317
since,630
outlawz,4
scandalous,7
half-dead,4
k-blasted,1
thai,2
mixed,34
twisted,181
blistered,1
visions,121
thug-livin,1
multiply,16
survived,23
cry,1336
unless,127
slugs,16
peep,26
scene,214
kind,876
cloudy,22
smoked,26
feelin,389
rowdy,6
ready,1112
wet,162
party,598
whoever,26
slugger,4
seeks,5
suckers,10
regular,60
mashin,2
stolen,81
integra,1
cocked,12
sixty,16
seconds,60
draw,119
deadin,1
first,1132
gat,18
worse,182
preachin,5
church,181
dirt,261
needin,11
bond,25
dawn,308
sun,1829
weight,279
rape,78
beat-breaks,2
chase,236
relate,62
dealin,23
fate,293
gate,76
travelin,14
weary,96
road,927
sometimes,1005
everything,2950
curry,8
free,1465
bird,126
yes,1088
penitentiary,12
liberty,40
westside,32
solo,111
jay-z,10
talkin,238
dog,224
soul,1737
