danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.168,0.937,2,1,0.0646,0.733,0.102,136.868,-4.513,0.00589,0.242,218466,0,power-pop
0.513,0.716,8,1,0.029,0.0107,0.058,113.087,-11.695,3.22e-05,0.801,255800,0,power-pop
0.261,0.99,9,1,0.167,0.165,0.0854,90.243,-3.432,0.00221,0.39,244733,0,power-pop
0.276,0.966,0,1,0.101,0.303,0.229,172.595,-4.028,7.28e-05,0.762,131400,0,power-pop
0.438,0.853,7,1,0.0467,0.474,0.111,122.951,-3.575,0.0278,0.718,242560,0,power-pop
0.154,0.98,2,1,0.135,0.069,0.412,91.325,-3.306,0.000956,0.389,208933,0,power-pop
0.775,0.562,4,0,0.0299,0.0,0.174,121.034,-6.041,0.468,0.77,132493,0,country
0.177,0.969,9,1,0.194,1.53e-06,0.0624,162.365,-3.2,0.00219,0.268,220666,0,power-pop
0.514,0.884,7,1,0.0378,0.0,0.282,138.31,-4.283,0.0236,0.809,208977,0,power-pop
0.569,0.963,7,1,0.0593,0.0256,0.22,76.995,-3.069,0.000787,0.82,185906,0,alt-rock
0.656,0.72,5,1,0.0573,0.000349,0.324,141.651,-9.007,0.774,0.95,131413,0,rockabilly
0.288,0.491,9,1,0.0384,0.000192,0.567,87.435,-11.841,0.615,0.719,190280,0,rockabilly
0.361,0.97,8,0,0.0837,0.000162,0.039,156.96,-5.69,6.58e-06,0.561,236720,0,alt-rock
0.885,0.576,9,1,0.0526,0.403,0.114,119.99,-11.918,0.458,0.866,159640,0,minimal-techno
0.337,0.981,8,1,0.141,0.000717,0.0697,176.995,-3.54,6.68e-05,0.228,229973,0,grunge
0.28,0.929,11,0,0.17,0.939,0.129,100.932,-7.069,7.43e-06,0.115,200933,0,death-metal
0.514,0.569,6,0,0.03,2.21e-06,0.218,142.597,-7.866,0.601,0.264,192260,0,acoustic
0.619,0.793,5,1,0.0661,0.0,0.0828,177.991,-5.964,0.263,0.892,214552,0,acoustic
0.626,0.926,2,1,0.0477,0.0,0.159,99.997,-4.441,0.0265,0.548,221425,0,acoustic
