danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.261,0.947,11,1,0.0487,0.00326,0.31,185.942,-3.031,0.000193,0.552,206120,0,alt-rock
0.45,0.814,9,1,0.0503,0.0051,0.0633,140.143,-8.855,0.00043,0.561,232440,0,power-pop
0.35,0.953,5,0,0.0609,0.185,0.346,158.012,-7.106,1.32e-05,0.314,333733,0,black-metal
0.767,0.747,10,0,0.25,1.49e-06,0.138,164.882,-6.749,0.462,0.855,268946,0,funk
0.303,0.71,0,1,0.0292,0.00152,0.131,162.657,-3.545,0.00575,0.327,248640,0,rock
0.448,0.93,9,0,0.0623,0.00133,0.37,174.996,-5.753,2.66e-05,0.456,213308,0,metal
0.512,0.232,7,1,0.0249,0.00357,0.387,100.513,-12.126,0.926,0.245,225760,0,honky-tonk
0.485,0.268,11,1,0.0281,0.226,0.212,92.69,-14.994,0.703,0.471,186093,0,honky-tonk
0.308,0.901,2,0,0.0607,5.94e-05,0.0842,196.059,-5.85,0.000334,0.131,385714,0,black-metal
0.293,0.819,4,0,0.0519,0.136,0.19,83.852,-12.758,0.0199,0.189,362826,0,death-metal
0.764,0.776,11,0,0.0329,0.000512,0.327,119.92,-5.329,0.124,0.772,191778,0,hip-hop
0.824,0.62,5,0,0.199,0.0,0.115,96.448,-7.562,0.0736,0.412,211053,0,j-dance
0.273,0.93,0,1,0.0622,0.821,0.176,133.877,-8.294,9.43e-05,0.455,199600,0,power-pop
0.2,0.88,7,0,0.0744,0.239,0.134,171.199,-5.193,0.0129,0.0626,204076,0,black-metal
0.575,0.4,3,1,0.0598,0.00263,0.0536,110.199,-7.674,0.000348,0.0724,158103,0,garage
0.568,0.865,5,0,0.0318,0.0072,0.2,99.013,-5.267,0.000101,0.423,231240,0,heavy-metal
0.359,0.917,5,0,0.0387,0.305,0.263,174.012,-3.492,0.000968,0.144,264827,0,idm
0.577,0.708,4,0,0.0279,0.101,0.335,109.785,-5.841,0.688,0.78,140880,0,bluegrass
0.235,0.87,6,1,0.075,0.427,0.257,180.02,-6.355,0.000105,0.0815,681000,0,black-metal
0.576,0.504,9,1,0.0343,0.00434,0.0877,76.241,-8.346,0.00676,0.31,354506,0,industrial
0.578,0.959,11,1,0.0533,0.0001,0.0915,101.458,-3.051,0.00128,0.503,210040,0,industrial
0.238,0.898,10,0,0.0817,0.862,0.165,186.218,-5.789,1.12e-05,0.364,327560,0,black-metal
0.435,0.712,2,1,0.153,0.916,0.184,132.446,-8.452,0.000163,0.289,67725,0,grindcore
0.496,0.254,2,1,0.0274,0.00218,0.0983,81.845,-14.153,0.902,0.396,188000,0,honky-tonk
0.425,0.862,6,1,0.0486,0.000338,0.617,150.0,-5.183,0.000844,0.501,293973,0,heavy-metal
0.757,0.723,1,0,0.046,8.74e-06,0.0589,74.985,-3.783,0.13,0.399,266480,0,dancehall
0.288,0.84,0,1,0.0341,0.0,0.113,184.58,-3.404,0.00154,0.672,134920,0,power-pop
0.5,0.25,2,1,0.0339,0.0,0.325,129.805,-11.185,0.453,0.58,164200,0,honky-tonk
0.215,0.941,8,1,0.13,0.252,0.0602,126.529,-5.128,0.0,0.0328,274240,0,black-metal
0.751,0.486,1,1,0.0374,0.032,0.108,120.01,-10.746,0.331,0.408,194133,0,indie-pop
